試合ID,フレーム番号,ホームアウェイF,システムターゲットID,背番号,座標X,座標Y,時速
0001,3108,0,0,0,-5.3735,18.3027,1.151
0001,3108,1,10001,1,-30.1614,2.8373,0.349
0001,3108,2,20001,1,33.0187,0.2086,0.108
0001,3108,1,10002,2,-13.6245,-4.2868,0.389
0001,3108,2,20002,2,11.7459,4.8415,0.162
0001,3108,1,10003,3,-12.376,11.7072,0.443
0001,3108,2,20003,3,14.157,19.15,0.221
0001,3108,1,10004,4,-13.2425,-16.3519,0.296
0001,3108,2,20004,4,12.3481,-11.4394,0.016
0001,3108,1,10005,5,-12.707,22.5875,0.301
0001,3108,2,20005,5,6.7302,11.1642,0.097
0001,3108,1,10006,6,-11.6238,3.1188,0.296
0001,3108,2,20006,6,2.4168,1.5733,0.168
0001,3108,1,10007,7,-7.6342,-4.2161,0.213
0001,3108,2,20007,7,3.2583,26.5427,0.2
0001,3108,1,10008,8,-6.9351,11.7553,0.273
0001,3108,2,20008,8,-0.6582,-5.3931,0.007
0001,3108,1,10009,9,-3.1906,-19.4912,0.23
0001,3108,2,20009,9,-11.0922,30.2047,0.276
0001,3108,1,10010,10,-4.4912,22.1122,0.318
0001,3108,2,20010,10,-2.6312,10.954,0.323
0001,3108,1,10011,11,-5.8486,3.3652,0.261
0001,3108,2,20011,11,-5.9025,18.1053,0.159
0001,3114,0,0,0,1.2901,25.2084,0.859
0001,3114,1,10001,1,-30.8632,4.0676,0.199
0001,3114,2,20001,1,33.1545,2.2253,0.323
0001,3114,1,10002,2,-13.5911,-1.3549,0.212
0001,3114,2,20002,2,13.6091,6.3742,0.28
0001,3114,1,10003,3,-12.9892,16.0266,0.429
0001,3114,2,20003,3,15.7763,21.0555,0.11
0001,3114,1,10004,4,-14.8875,-13.8379,0.148
0001,3114,2,20004,4,12.3423,-11.4148,0.0
0001,3114,1,10005,5,-13.371,24.7581,0.139
0001,3114,2,20005,5,6.9312,12.9989,0.256
0001,3114,1,10006,6,-12.1735,7.0633,0.261
0001,3114,2,20006,6,0.2583,4.0149,0.26
0001,3114,1,10007,7,-6.9749,-2.2536,0.185
0001,3114,2,20007,7,1.9652,24.7989,0.003
0001,3114,1,10008,8,-7.6167,14.3299,0.17
0001,3114,2,20008,8,-1.9004,-3.6176,0.238
0001,3114,1,10009,9,-3.0775,-18.1522,0.173
0001,3114,2,20009,9,-11.8863,30.1158,0.11
0001,3114,1,10010,10,-4.3942,22.8393,0.268
0001,3114,2,20010,10,-7.5948,11.143,0.411
0001,3114,1,10011,11,-5.6461,5.6792,0.197
0001,3114,2,20011,11,-9.3609,18.7628,0.481
0001,3122,0,0,0,-10.3733,30.7232,1.244
0001,3122,1,10001,1,-28.1784,6.7817,0.035
0001,3122,2,20001,1,33.2207,2.7735,0.0
0001,3122,1,10002,2,-16.2897,1.3691,0.378
0001,3122,2,20002,2,12.7788,7.0347,0.106
0001,3122,1,10003,3,-16.325,19.6932,0.482
0001,3122,2,20003,3,13.6195,24.159,0.221
0001,3122,1,10004,4,-15.433,-12.144,0.013
0001,3122,2,20004,4,11.8248,-10.6763,0.046
0001,3122,1,10005,5,-16.5724,27.7213,0.113
0001,3122,2,20005,5,7.5834,17.6056,0.221
0001,3122,1,10006,6,-13.4794,10.2399,0.107
0001,3122,2,20006,6,-0.5333,9.2387,0.25
0001,3122,1,10007,7,-8.0936,-0.3266,0.121
0001,3122,2,20007,7,-0.7729,26.0828,0.283
0001,3122,1,10008,8,-7.723,15.8445,0.058
0001,3122,2,20008,8,-5.1342,-1.1802,0.327
0001,3122,1,10009,9,-3.7686,-15.173,0.274
0001,3122,2,20009,9,-11.182,30.5936,0.029
0001,3122,1,10010,10,-6.1789,25.4747,0.363
0001,3122,2,20010,10,-13.5487,12.5933,0.158
0001,3122,1,10011,11,-7.0073,8.7308,0.362
0001,3122,2,20011,11,-14.3024,21.29,0.308
0001,3133,0,0,0,11.1464,26.2158,1.331
0001,3133,1,10001,1,-30.818,6.1626,0.185
0001,3133,2,20001,1,33.3094,3.8513,0.003
0001,3133,1,10002,2,-16.5877,2.8442,0.164
0001,3133,2,20002,2,17.8616,6.0865,0.279
0001,3133,1,10003,3,-15.1848,20.7692,0.12
0001,3133,2,20003,3,11.3348,26.9397,0.02
0001,3133,1,10004,4,-14.3723,-11.163,0.154
0001,3133,2,20004,4,12.7802,-10.2816,0.241
0001,3133,1,10005,5,-15.8869,28.8535,0.198
0001,3133,2,20005,5,10.1454,18.2724,0.003
0001,3133,1,10006,6,-11.9843,11.9804,0.137
0001,3133,2,20006,6,0.431,8.2321,0.211
0001,3133,1,10007,7,-6.0622,0.16,0.179
0001,3133,2,20007,7,1.666,28.9276,0.241
0001,3133,1,10008,8,-6.116,18.1131,0.159
0001,3133,2,20008,8,-1.4387,-1.3432,0.279
0001,3133,1,10009,9,-2.7286,-11.9571,0.168
0001,3133,2,20009,9,-13.5998,31.8136,0.01
0001,3133,1,10010,10,-1.0605,27.1098,0.354
0001,3133,2,20010,10,-8.8331,11.3123,0.057
0001,3133,1,10011,11,-3.7721,13.2266,0.188
0001,3133,2,20011,11,-11.8598,20.9868,0.095
0001,3142,0,0,0,3.8187,8.312,0.892
0001,3142,1,10001,1,-27.726,6.2975,0.066
0001,3142,2,20001,1,33.3097,3.8552,0.0
0001,3142,1,10002,2,-13.7124,1.4987,0.33
0001,3142,2,20002,2,16.8694,5.8502,0.245
0001,3142,1,10003,3,-14.1191,18.2904,0.44
0001,3142,2,20003,3,12.6927,27.6029,0.147
0001,3142,1,10004,4,-12.3725,-12.0127,0.201
0001,3142,2,20004,4,14.1542,-10.8681,0.02
0001,3142,1,10005,5,-14.7433,28.7759,0.005
0001,3142,2,20005,5,8.3094,16.6697,0.031
0001,3142,1,10006,6,-11.4592,8.8665,0.154
0001,3142,2,20006,6,3.8356,9.2695,0.004
0001,3142,1,10007,7,-1.7142,3.5389,0.127
0001,3142,2,20007,7,3.2514,30.0784,0.217
0001,3142,1,10008,8,-5.1323,17.4317,0.045
0001,3142,2,20008,8,0.2648,-3.1931,0.184
0001,3142,1,10009,9,-0.931,-12.7041,0.194
0001,3142,2,20009,9,-14.1297,31.9725,0.126
0001,3142,1,10010,10,-0.4397,27.1226,0.008
0001,3142,2,20010,10,-10.9139,9.6628,0.0
0001,3142,1,10011,11,-1.241,10.875,0.15
0001,3142,2,20011,11,-13.1982,23.576,0.325
0001,3149,0,0,0,2.8126,-4.0164,1.332
0001,3149,1,10001,1,-25.5827,3.3106,0.273
0001,3149,2,20001,1,33.3097,3.8552,0.0
0001,3149,1,10002,2,-13.1424,-1.9846,0.053
0001,3149,2,20002,2,16.8782,2.7024,0.323
0001,3149,1,10003,3,-14.7235,15.1889,0.087
0001,3149,2,20003,3,13.2862,24.6409,0.086
0001,3149,1,10004,4,-12.0004,-15.0435,0.21
0001,3149,2,20004,4,14.1774,-12.067,0.083
0001,3149,1,10005,5,-13.7224,26.1602,0.122
0001,3149,2,20005,5,7.6078,15.0688,0.218
0001,3149,1,10006,6,-11.2168,4.3278,0.105
0001,3149,2,20006,6,4.592,6.2718,0.094
0001,3149,1,10007,7,-2.0373,1.0998,0.309
0001,3149,2,20007,7,3.684,28.2124,0.213
0001,3149,1,10008,8,-5.0381,15.3315,0.16
0001,3149,2,20008,8,1.9369,-3.8875,0.256
0001,3149,1,10009,9,-0.209,-13.5672,0.195
0001,3149,2,20009,9,-12.9301,30.9114,0.258
0001,3149,1,10010,10,0.247,26.8567,0.152
0001,3149,2,20010,10,-10.8973,8.742,0.245
0001,3149,1,10011,11,-0.038,6.0148,0.44
0001,3149,2,20011,11,-11.3431,21.4965,0.336
0001,3152,0,0,0,1.6492,-4.7899,0.405
0001,3152,1,10001,1,-24.9618,1.6388,0.134
0001,3152,2,20001,1,33.8916,3.3329,0.087
0001,3152,1,10002,2,-12.9175,-3.2749,0.306
0001,3152,2,20002,2,16.8864,0.9976,0.119
0001,3152,1,10003,3,-14.3035,14.5904,0.068
0001,3152,2,20003,3,13.4559,23.7379,0.025
0001,3152,1,10004,4,-11.9802,-17.3056,0.292
0001,3152,2,20004,4,14.174,-12.197,0.005
0001,3152,1,10005,5,-13.1128,25.5087,0.186
0001,3152,2,20005,5,7.8372,14.3187,0.174
0001,3152,1,10006,6,-10.725,3.5953,0.191
0001,3152,2,20006,6,4.9103,6.499,0.055
0001,3152,1,10007,7,-2.643,-1.1479,0.324
0001,3152,2,20007,7,3.7424,26.3108,0.236
0001,3152,1,10008,8,-5.0944,14.115,0.172
0001,3152,2,20008,8,2.2716,-4.3407,0.206
0001,3152,1,10009,9,-0.0526,-13.8157,0.192
0001,3152,2,20009,9,-12.6121,30.6453,0.026
0001,3152,1,10010,10,0.0453,26.4097,0.111
0001,3152,2,20010,10,-11.0996,6.4822,0.325
0001,3152,1,10011,11,0.0833,3.9569,0.307
0001,3152,2,20011,11,-11.2771,19.4358,0.171
0001,3159,0,0,0,1.9887,-6.9867,0.983
0001,3159,1,10001,1,-26.1853,-2.019,0.125
0001,3159,2,20001,1,34.0148,3.2336,0.0
0001,3159,1,10002,2,-12.394,-8.6378,0.352
0001,3159,2,20002,2,17.1129,0.6873,0.029
0001,3159,1,10003,3,-13.1475,9.5435,0.318
0001,3159,2,20003,3,13.6476,22.4214,0.01
0001,3159,1,10004,4,-12.1354,-20.1433,0.043
0001,3159,2,20004,4,14.4839,-12.4321,0.048
0001,3159,1,10005,5,-12.9907,21.7237,0.125
0001,3159,2,20005,5,6.7966,12.7215,0.202
0001,3159,1,10006,6,-11.4848,0.1469,0.135
0001,3159,2,20006,6,5.0623,2.6081,0.227
0001,3159,1,10007,7,-3.3807,-6.2632,0.127
0001,3159,2,20007,7,3.7292,22.4855,0.219
0001,3159,1,10008,8,-5.3002,11.363,0.161
0001,3159,2,20008,8,1.8226,-6.272,0.007
0001,3159,1,10009,9,-0.4542,-19.0041,0.171
0001,3159,2,20009,9,-12.1047,30.1017,0.008
0001,3159,1,10010,10,0.5924,25.7763,0.101
0001,3159,2,20010,10,-13.5303,0.6864,0.408
0001,3159,1,10011,11,-0.5078,0.0077,0.176
0001,3159,2,20011,11,-11.7386,18.2831,0.146
0001,3166,0,0,0,13.4806,-11.522,1.173
0001,3166,1,10001,1,-23.8848,-4.4867,0.228
0001,3166,2,20001,1,33.4375,-0.1649,0.303
0001,3166,1,10002,2,-10.4552,-10.6465,0.289
0001,3166,2,20002,2,18.9707,1.8664,0.043
0001,3166,1,10003,3,-11.7902,6.7428,0.236
0001,3166,2,20003,3,15.3558,19.584,0.235
0001,3166,1,10004,4,-10.3089,-21.1646,0.233
0001,3166,2,20004,4,13.8926,-12.1529,0.025
0001,3166,1,10005,5,-12.2423,20.5449,0.126
0001,3166,2,20005,5,6.7651,11.7484,0.022
0001,3166,1,10006,6,-9.6909,-1.8539,0.239
0001,3166,2,20006,6,6.011,0.4534,0.234
0001,3166,1,10007,7,-1.271,-8.8062,0.192
0001,3166,2,20007,7,4.4554,20.8135,0.024
0001,3166,1,10008,8,-4.5265,9.5713,0.149
0001,3166,2,20008,8,3.0683,-9.6348,0.315
0001,3166,1,10009,9,-0.3125,-20.6804,0.124
0001,3166,2,20009,9,-10.6745,27.7129,0.158
0001,3166,1,10010,10,1.114,23.8511,0.159
0001,3166,2,20010,10,-10.843,-1.5615,0.322
0001,3166,1,10011,11,0.6859,-1.6505,0.293
0001,3166,2,20011,11,-10.6095,15.3449,0.355
0001,3179,0,0,0,6.8408,12.5276,0.509
0001,3179,1,10001,1,-21.97,-1.1971,0.247
0001,3179,2,20001,1,34.1782,1.4076,0.352
0001,3179,1,10002,2,-8.7989,-6.3721,0.17
0001,3179,2,20002,2,20.1795,4.1888,0.017
0001,3179,1,10003,3,-8.5659,11.4698,0.228
0001,3179,2,20003,3,17.4237,19.7331,0.139
0001,3179,1,10004,4,-8.5568,-18.9436,0.152
0001,3179,2,20004,4,16.5954,-11.9259,0.001
0001,3179,1,10005,5,-9.9926,21.9991,0.132
0001,3179,2,20005,5,6.8334,13.3138,0.003
0001,3179,1,10006,6,-8.4008,2.0773,0.136
0001,3179,2,20006,6,4.4287,2.2197,0.296
0001,3179,1,10007,7,-0.6664,-5.6349,0.183
0001,3179,2,20007,7,6.1926,23.3632,0.126
0001,3179,1,10008,8,-1.9629,12.0002,0.281
0001,3179,2,20008,8,3.9174,-11.9773,0.017
0001,3179,1,10009,9,2.4125,-18.2491,0.197
0001,3179,2,20009,9,-9.2089,28.8961,0.364
0001,3179,1,10010,10,4.1938,16.9488,0.231
0001,3179,2,20010,10,-9.1779,2.1599,0.29
0001,3179,1,10011,11,2.6983,1.7155,0.213
0001,3179,2,20011,11,-8.9895,16.5997,0.124
0001,3182,0,0,0,5.7481,11.7849,0.388
0001,3182,1,10001,1,-22.0241,0.2154,0.096
0001,3182,2,20001,1,34.4829,1.8758,0.023
0001,3182,1,10002,2,-8.7325,-5.1742,0.162
0001,3182,2,20002,2,21.0808,4.2758,0.036
0001,3182,1,10003,3,-8.5315,12.5342,0.173
0001,3182,2,20003,3,17.9935,20.1495,0.03
0001,3182,1,10004,4,-8.4497,-17.6348,0.157
0001,3182,2,20004,4,17.0974,-11.8227,0.021
0001,3182,1,10005,5,-9.7034,22.6494,0.093
0001,3182,2,20005,5,6.2771,12.2154,0.266
0001,3182,1,10006,6,-8.4698,3.2606,0.146
0001,3182,2,20006,6,4.1172,4.8459,0.383
0001,3182,1,10007,7,-1.0129,-4.7624,0.137
0001,3182,2,20007,7,5.5062,24.537,0.188
0001,3182,1,10008,8,-2.0423,13.5006,0.212
0001,3182,2,20008,8,3.9087,-12.0023,0.001
0001,3182,1,10009,9,2.5136,-17.5849,0.062
0001,3182,2,20009,9,-8.6174,28.8413,0.036
0001,3182,1,10010,10,4.2253,15.4315,0.312
0001,3182,2,20010,10,-9.0659,3.4617,0.062
0001,3182,1,10011,11,2.8273,2.9266,0.068
0001,3182,2,20011,11,-8.9132,17.8793,0.353
0001,3190,0,0,0,14.6393,19.1639,0.727
0001,3190,1,10001,1,-21.3599,4.356,0.221
0001,3190,2,20001,1,35.9368,2.6944,0.09
0001,3190,1,10002,2,-7.2527,-3.0368,0.166
0001,3190,2,20002,2,21.9271,4.0638,0.002
0001,3190,1,10003,3,-7.6919,13.8219,0.198
0001,3190,2,20003,3,15.0905,18.4996,0.04
0001,3190,1,10004,4,-7.2443,-15.5392,0.153
0001,3190,2,20004,4,18.0746,-11.443,0.062
0001,3190,1,10005,5,-8.3339,24.1395,0.113
0001,3190,2,20005,5,9.6584,12.3905,0.234
0001,3190,1,10006,6,-6.7507,4.6352,0.121
0001,3190,2,20006,6,6.619,4.7864,0.301
0001,3190,1,10007,7,0.2988,-2.8885,0.172
0001,3190,2,20007,7,7.1112,28.0988,0.231
0001,3190,1,10008,8,-1.822,15.1632,0.14
0001,3190,2,20008,8,4.702,-9.3486,0.045
0001,3190,1,10009,9,4.2562,-15.9697,0.194
0001,3190,2,20009,9,-8.1764,29.9545,0.267
0001,3190,1,10010,10,6.6687,15.3374,0.326
0001,3190,2,20010,10,-5.6295,5.6291,0.132
0001,3190,1,10011,11,3.6815,5.8435,0.213
0001,3190,2,20011,11,-6.9641,19.4398,0.222
0001,3194,0,0,0,8.3806,26.229,1.972
0001,3194,1,10001,1,-21.0491,6.1701,0.186
0001,3194,2,20001,1,36.1402,3.0108,0.069
0001,3194,1,10002,2,-6.9097,-2.1362,0.213
0001,3194,2,20002,2,22.7472,3.9583,0.107
0001,3194,1,10003,3,-7.01,14.6514,0.228
0001,3194,2,20003,3,16.2133,19.0967,0.253
0001,3194,1,10004,4,-6.717,-14.4488,0.106
0001,3194,2,20004,4,18.1442,-11.3752,0.001
0001,3194,1,10005,5,-7.6624,24.7567,0.084
0001,3194,2,20005,5,11.2034,13.4252,0.105
0001,3194,1,10006,6,-5.1096,5.9328,0.095
0001,3194,2,20006,6,8.2032,3.4887,0.182
0001,3194,1,10007,7,0.9875,-1.8619,0.123
0001,3194,2,20007,7,7.9553,26.9292,0.222
0001,3194,1,10008,8,-1.8725,16.6093,0.294
0001,3194,2,20008,8,4.2068,-8.4548,0.223
0001,3194,1,10009,9,5.5405,-15.14,0.081
0001,3194,2,20009,9,-6.6752,29.881,0.04
0001,3194,1,10010,10,7.228,16.831,0.085
0001,3194,2,20010,10,-6.4231,8.2381,0.307
0001,3194,1,10011,11,4.3073,6.7077,0.068
0001,3194,2,20011,11,-7.0725,20.1334,0.071
0001,3202,0,0,0,3.4061,26.566,0.461
0001,3202,1,10001,1,-23.5218,6.7695,0.216
0001,3202,2,20001,1,36.1753,3.1214,0.0
0001,3202,1,10002,2,-9.1888,1.7733,0.153
0001,3202,2,20002,2,21.8776,5.4896,0.132
0001,3202,1,10003,3,-9.7118,18.3036,0.269
0001,3202,2,20003,3,18.7515,22.7391,0.231
0001,3202,1,10004,4,-10.8867,-12.5473,0.33
0001,3202,2,20004,4,18.1457,-11.374,0.0
0001,3202,1,10005,5,-9.8271,26.7279,0.101
0001,3202,2,20005,5,10.5722,14.7004,0.176
0001,3202,1,10006,6,-6.6812,9.8686,0.285
0001,3202,2,20006,6,7.6267,3.102,0.235
0001,3202,1,10007,7,-0.8604,0.0425,0.142
0001,3202,2,20007,7,4.1563,26.7929,0.337
0001,3202,1,10008,8,-3.4021,20.779,0.292
0001,3202,2,20008,8,1.676,-3.6164,0.272
0001,3202,1,10009,9,5.5285,-12.95,0.187
0001,3202,2,20009,9,-7.0554,33.2027,0.112
0001,3202,1,10010,10,2.6661,21.1706,0.315
0001,3202,2,20010,10,-8.0258,12.202,0.334
0001,3202,1,10011,11,2.8285,9.1742,0.22
0001,3202,2,20011,11,-6.296,21.2678,0.108
0001,3207,0,0,0,3.1083,27.5175,1.039
0001,3207,1,10001,1,-25.1618,7.2033,0.175
0001,3207,2,20001,1,36.1754,3.1215,0.0
0001,3207,1,10002,2,-10.3826,2.3602,0.065
0001,3207,2,20002,2,21.7431,5.6767,0.002
0001,3207,1,10003,3,-11.2796,19.6315,0.217
0001,3207,2,20003,3,19.6124,23.401,0.012
0001,3207,1,10004,4,-11.3607,-12.405,0.002
0001,3207,2,20004,4,18.1457,-11.374,0.0
0001,3207,1,10005,5,-10.4832,27.5489,0.123
0001,3207,2,20005,5,11.0688,14.4262,0.029
0001,3207,1,10006,6,-9.8146,11.7864,0.152
0001,3207,2,20006,6,5.4493,3.2342,0.218
0001,3207,1,10007,7,-2.812,0.8193,0.184
0001,3207,2,20007,7,2.6872,28.155,0.099
0001,3207,1,10008,8,-4.871,22.4483,0.264
0001,3207,2,20008,8,-0.224,-2.0106,0.181
0001,3207,1,10009,9,4.2995,-11.0709,0.195
0001,3207,2,20009,9,-9.5106,33.491,0.36
0001,3207,1,10010,10,0.1786,23.846,0.12
0001,3207,2,20010,10,-10.7894,13.8279,0.346
0001,3207,1,10011,11,1.4093,10.9768,0.21
0001,3207,2,20011,11,-8.0702,23.2861,0.366
0001,3217,0,0,0,11.8698,13.438,1.081
0001,3217,1,10001,1,-24.7561,7.8091,0.214
0001,3217,2,20001,1,36.1754,3.1215,0.0
0001,3217,1,10002,2,-9.0873,1.4686,0.163
0001,3217,2,20002,2,21.3497,4.559,0.0
0001,3217,1,10003,3,-8.9804,18.4792,0.219
0001,3217,2,20003,3,20.1926,23.108,0.0
0001,3217,1,10004,4,-10.2238,-12.227,0.142
0001,3217,2,20004,4,18.1457,-11.374,0.0
0001,3217,1,10005,5,-8.9201,27.5292,0.116
0001,3217,2,20005,5,12.3947,14.082,0.0
0001,3217,1,10006,6,-8.343,10.6635,0.103
0001,3217,2,20006,6,3.8182,4.1285,0.0
0001,3217,1,10007,7,-1.3434,0.0556,0.193
0001,3217,2,20007,7,3.1957,30.3805,0.003
0001,3217,1,10008,8,-3.8369,21.7143,0.161
0001,3217,2,20008,8,0.2283,-3.5637,0.174
0001,3217,1,10009,9,5.6654,-9.5438,0.078
0001,3217,2,20009,9,-9.7236,33.6508,0.25
0001,3217,1,10010,10,-0.3145,24.7819,0.0
0001,3217,2,20010,10,-8.9106,12.6887,0.07
0001,3217,1,10011,11,5.7643,15.0007,0.189
0001,3217,2,20011,11,-9.7044,22.5608,0.358
0001,3227,0,0,0,2.6341,2.5151,1.557
0001,3227,1,10001,1,-23.9603,3.6121,0.261
0001,3227,2,20001,1,36.1754,3.1215,0.0
0001,3227,1,10002,2,-8.7778,-3.7295,0.063
0001,3227,2,20002,2,19.832,4.0667,0.031
0001,3227,1,10003,3,-9.6535,14.4764,0.064
0001,3227,2,20003,3,19.3503,24.684,0.025
0001,3227,1,10004,4,-10.1999,-15.7372,0.067
0001,3227,2,20004,4,19.2094,-10.26,0.001
0001,3227,1,10005,5,-9.1798,25.606,0.004
0001,3227,2,20005,5,12.1247,13.8504,0.004
0001,3227,1,10006,6,-9.2373,5.4043,0.195
0001,3227,2,20006,6,3.5138,2.9216,0.003
0001,3227,1,10007,7,1.9198,0.804,0.194
0001,3227,2,20007,7,3.6787,31.1667,0.135
0001,3227,1,10008,8,-3.4869,18.9345,0.07
0001,3227,2,20008,8,1.0427,-4.9049,0.007
0001,3227,1,10009,9,4.2009,-12.238,0.078
0001,3227,2,20009,9,-8.0187,32.8589,0.02
0001,3227,1,10010,10,-1.2364,24.8543,0.027
0001,3227,2,20010,10,-8.2894,10.3502,0.03
0001,3227,1,10011,11,6.5271,13.4841,0.139
0001,3227,2,20011,11,-9.4037,22.0134,0.064
0001,3234,0,0,0,-5.9388,11.1238,1.334
0001,3234,1,10001,1,-28.2663,2.1844,0.36
0001,3234,2,20001,1,36.1754,3.1215,0.0
0001,3234,1,10002,2,-11.5121,-4.1926,0.286
0001,3234,2,20002,2,16.6637,3.6451,0.296
0001,3234,1,10003,3,-13.3131,14.1097,0.216
0001,3234,2,20003,3,18.2034,24.0635,0.201
0001,3234,1,10004,4,-13.0867,-15.7901,0.282
0001,3234,2,20004,4,17.2999,-12.377,0.044
0001,3234,1,10005,5,-13.0694,24.2814,0.308
0001,3234,2,20005,5,12.5156,14.21,0.238
0001,3234,1,10006,6,-12.9067,4.9967,0.105
0001,3234,2,20006,6,2.5537,5.6491,0.134
0001,3234,1,10007,7,0.0262,0.6974,0.305
0001,3234,2,20007,7,1.4233,30.7679,0.146
0001,3234,1,10008,8,-6.9316,17.4621,0.352
0001,3234,2,20008,8,-1.8099,-6.2534,0.292
0001,3234,1,10009,9,2.8238,-13.0415,0.246
0001,3234,2,20009,9,-11.4977,32.1084,0.26
0001,3234,1,10010,10,-3.8556,24.1195,0.216
0001,3234,2,20010,10,-6.4319,11.448,0.239
